City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
602,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
604,Cutler Ridge,US,78.03,clear sky,25.5783,-80.3377,Maritza ITS
607,Domoni,KM,79.21,light rain,-12.2569,44.5319,Al Djadid
608,Fez,MA,71.71,clear sky,34.0372,-4.9998,Hotel Mounia Fès
610,Voh,NC,78.39,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
611,Celestun,MX,74.8,clear sky,20.8667,-90.4,Posada Lilia
612,Dingle,PH,76.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
613,Marsh Harbour,BS,72.81,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
615,Nelson Bay,AU,73.99,light rain,-32.7167,152.15,Mantra Nelson Bay
617,Brokopondo,SR,84.16,overcast clouds,4.75,-55.1667,Matu Island
618,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
620,Barra Do Corda,BR,81.55,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
621,Bandarbeyla,SO,74.1,few clouds,9.4942,50.8122,JABIR HOTEL
623,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
624,Dutse,NG,74.77,scattered clouds,11.7594,9.3392,Central Mosque Galamawa
631,Hambantota,LK,77.31,light rain,6.1241,81.1185,Bungalow 63
632,Kailua,US,73.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
635,Kollam,IN,84.07,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
638,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
648,Coihueco,CL,72.34,scattered clouds,-36.6167,-71.8333,Frutillares Centro Coihueco
653,Durban,ZA,79.72,scattered clouds,-29.8579,31.0292,Hilton Durban
656,Puri,IN,72.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
667,Acarau,BR,85.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
671,Kangar,MY,80.55,moderate rain,6.4414,100.1986,Hotel Seri Malaysia Kangar Perlis
675,Grand Baie,MU,79.27,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
676,Roebourne,AU,84.43,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
677,Abu Zabad,SD,74.75,few clouds,12.35,29.25,حامد محمد نور
690,Eirunepe,BR,85.39,overcast clouds,-6.6603,-69.8736,Atrás de você
699,Savantvadi,IN,74.86,broken clouds,15.9,73.8167,Galaxy Lake Resort
700,Arua,UG,76.15,overcast clouds,3.0201,30.9111,Golden Courts Hotel
701,Palasa,IN,70.59,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
707,Telde,ES,71.82,clear sky,27.9924,-15.4192,El Baladero Apartamentos
